"","X","city","state","longitude","latitude","AirPtCd","citstate","citylons","citylats","newairlon","newairlat"
"1",1,"Eastport","Maine",-66.99,44.91,"KBHB","Eastport Maine",-66.9899785,44.9061906,-68.3621,44.445
"2",2,"Bangor","Maine",-68.7833,44.8,"KBGR","Bangor Maine",-68.7712257,44.8016128,-68.823274,44.8069263
"3",3,"Portland","Maine",-70.25,43.6667,"KPWM","Portland Maine",-70.2568189,43.6590993,-70.3096974,43.6464785
"4",4,"Boston","Massachusetts",-71.0833,42.35,"KBOS","Boston Massachusetts",-71.0588801,42.3600825,-71.0095602,42.3656132
"5",5,"Providence","Rhode Island",-71.4,41.8333,"KPVD","Providence Rhode Island",-71.4128343,41.8239891,-71.4304062,41.7245271
"7",7,"Montpelier","Vermont",-72.5333,44.25,"KMPV","Montpelier Vermont",-72.5753869,44.2600593,-72.5635907,44.2031184
"8",8,"Springfield","Massachusetts",-72.5667,42.1,"KCEF","Springfield Massachusetts",-72.589811,42.1014831,-72.5438059,42.1991064
"11",11,"New York","New York",-73.9667,40.7833,"KNYC","New York New York",-74.0059728,40.7127753,-73.7781391,40.6413111
"12",12,"Atlantic City","New Jersey",-74.4167,39.3667,"KACY","Atlantic City New Jersey",-74.4229266,39.3642834,-74.5725117,39.4557779
"13",13,"Philadelphia","Pennsylvania",-75.1667,39.95,"KPHL","Philadelphia Pennsylvania",-75.1652215,39.9525839,-75.2424229,39.8743959
"15",15,"Scranton","Pennsylvania",-75.65,41.4,"KAVP","Scranton Pennsylvania",-75.6624122,41.408969,-75.7246404,41.3379327
"17",17,"Syracuse","New York",-76.1333,43.0333,"KSYR","Syracuse New York",-76.1474244,43.0481221,-76.1101888,43.1139301
"18",18,"Baltimore","Maryland",-76.6333,39.3,"KDMH","Baltimore Maryland",-76.6121893,39.2903848,-76.5389888,39.317627
"19",19,"Richmond","Virginia",-77.4833,37.55,"KOFP","Richmond Virginia",-77.4360481,37.5407246,-77.436203,37.70809
"20",20,"Wilmington","North Carolina",-77.95,34.2333,"KILM","Wilmington North Carolina",-77.9447102,34.2257255,-77.9105201,34.2668931
"21",21,"Raleigh","North Carolina",-78.65,35.7667,"KRDU","Raleigh North Carolina",-78.6381787,35.7795897,-78.7879963,35.880079
"22",22,"Buffalo","New York",-78.8333,42.9167,"KBUF","Buffalo New York",-78.8783689,42.8864468,-78.7295067,42.9397059
"25",25,"Roanoke","Virginia",-79.95,37.2833,"KROA","Roanoke Virginia",-79.9414266,37.2709704,-79.9704162,37.3206228
"26",26,"Miami","Florida",-80.2,25.7667,"KMIA","Miami Florida",-80.1917902,25.7616798,-80.2870457,25.795865
"27",27,"Charlotte","North Carolina",-80.8333,35.2333,"KCLT","Charlotte North Carolina",-80.8431267,35.2270869,-80.9473146,35.2144026
"28",28,"Columbia","South Carolina",-81.0333,34,"KCUB","Columbia South Carolina",-81.0348144,34.0007104,-80.9967684,33.9715611
"29",29,"Savannah","Georgia",-81.0833,32.0833,"KSVN","Savannah Georgia",-81.091203,32.0808989,-81.1470286,32.0110535
"30",30,"Cleveland","Ohio",-81.6167,41.4667,"KBKL","Cleveland Ohio",-81.6943605,41.49932,-81.6899155,41.5115689
"34",34,"Tampa","Florida",-82.45,27.95,"KTPA","Tampa Florida",-82.4571776,27.950575,-82.5370781,27.9834776
"37",37,"Knoxville","Tennessee",-83.9333,35.95,"KTYS","Knoxville Tennessee",-83.9207392,35.9606384,-83.993889,35.810833
"39",39,"Atlanta","Georgia",-84.3833,33.75,"KATL","Atlanta Georgia",-84.3879824,33.7489954,-84.4277001,33.6407282
"40",40,"Cincinnati","Ohio",-84.5,39.1333,"KLUK","Cincinnati Ohio",-84.5120196,39.1031182,-84.4293704,39.1038008
"41",41,"Grand Rapids","Michigan",-85.6667,42.9667,"KGRR","Grand Rapids Michigan",-85.6680863,42.9633599,-85.5248434,42.8846633
"42",42,"Louisville","Kentucky",-85.7667,38.25,"KSDF","Louisville Kentucky",-85.7584557,38.2526647,-85.7369231,38.175662
"45",45,"Nashville","Tennessee",-86.7833,36.1667,"KBNA","Nashville Tennessee",-86.7816016,36.1626638,-86.6773713,36.126317
"46",46,"Birmingham","Alabama",-86.8333,33.5,"KBHM","Birmingham Alabama",-86.80249,33.5206608,-86.754126,33.5624269
"47",47,"Chicago","Illinois",-87.6167,41.8333,"KMDW","Chicago Illinois",-87.6297982,41.8781136,-87.7521884,41.7867759
"48",48,"Milwaukee","Wisconsin",-87.9167,43.0333,"KMKE","Milwaukee Wisconsin",-87.9064736,43.0389025,-87.896646,42.9475534
"55",55,"Dubuque","Iowa",-90.6667,42.5167,"KDBQ","Dubuque Iowa",-90.6645718,42.5005583,-90.700621,42.39384
"56",56,"Duluth","Minnesota",-92.0833,46.8167,"KDLH","Duluth Minnesota",-92.1004852,46.7866719,-92.1875408,46.8421083
"57",57,"Hot Springs","Arkansas",-93.05,34.5167,"KHOT","Hot Springs Arkansas",-93.0551795,34.5037004,-94.300523,36.461826
"58",58,"Minneapolis","Minnesota",-93.2333,44.9833,"KMSP","Minneapolis Minnesota",-93.2650108,44.977753,-93.124218,45.059297
"59",59,"Springfield","Missouri",-93.2833,37.2167,"KSGF","Springfield Missouri",-93.2922989,37.2089572,-93.323776,37.196869
"60",60,"Des Moines","Iowa",-93.6167,41.5833,"KDSM","Des Moines Iowa",-93.6091064,41.6005448,-93.6443424,41.5474131
"62",62,"Kansas City","Missouri",-94.5833,39.1,"KMKC","Kansas City Missouri",-94.5785667,39.0997265,-94.5902374,39.1208095
"63",63,"Lincoln","Nebraska",-96.6667,40.8333,"KLNK","Lincoln Nebraska",-96.7025955,40.813616,-96.7581014,40.8506586
"64",64,"Sioux Falls","South Dakota",-96.7333,43.55,"KFSD","Sioux Falls South Dakota",-96.7311034,43.5445959,-96.7404127,43.5826764
"65",65,"Dallas","Texas",-96.7667,32.7667,"KDAL","Dallas Texas",-96.7969879,32.7766642,-96.8512063,32.8481029
"66",66,"Fargo","North Dakota",-96.8,46.8667,"KFAR","Fargo North Dakota",-96.7898034,46.8771863,-96.8180723,46.9219271
"67",67,"Wichita","Kansas",-97.2833,37.7167,"KAAO","Wichita Kansas",-97.330053,37.6871761,-97.221107,37.747501
"69",69,"San Antonio","Texas",-98.55,29.3833,"KSKF","San Antonio Texas",-98.4936282,29.4241219,-98.5785196,29.3820256
"70",70,"Pierre","South Dakota",-100.35,44.3667,"KPIR","Pierre South Dakota",-100.3537522,44.3667876,-100.285833,44.3825
"71",71,"North Platte","Nebraska",-100.767,41.1333,"KLBF","North Platte Nebraska",-100.7601454,41.1402759,-100.6981139,41.1298336
"73",73,"Garden City","Kansas",-100.883,37.9667,"KGCK","Garden City Kansas",-100.8726618,37.9716898,-100.7198703,37.9268913
"75",75,"Carlsbad","New Mexico",-104.25,32.4333,"KCNM","Carlsbad New Mexico",-104.2288375,32.4206736,-104.2526954,32.3455852
"76",76,"Trinidad","Colorado",-104.5,37.1667,"KTAD","Trinidad Colorado",-104.5005407,37.1694632,-104.3362998,37.2605112
"77",77,"Cheyenne","Wyoming",-104.867,41.15,"KCYS","Cheyenne Wyoming",-104.8202462,41.1399814,-104.8191509,41.1532465
"78",78,"Denver","Colorado",-105,39.75,"KBJC","Denver Colorado",-104.990251,39.7392358,-105.1118525,39.9097178
"79",79,"Santa Fe","New Mexico",-105.95,35.6833,"KSAF","Santa Fe New Mexico",-105.937799,35.6869752,-106.0845315,35.6182563
"81",81,"Grand Junction","Colorado",-108.55,39.0833,"KGJT","Grand Junction Colorado",-108.5506486,39.0638705,-108.5323765,39.1229004
"82",82,"Lander","Wyoming",-108.667,42.8333,"KLND","Lander Wyoming",-108.7306725,42.833014,-108.7296549,42.8148855
"83",83,"Harve","Montana",-109.717,48.55,"KHVR","Harve Montana",-109.6840887,48.549999,-109.7591257,48.5438304
"84",84,"Nogales","Arizona",-110.933,31.35,"KOLS","Nogales Arizona",-110.9342532,31.3403775,-110.849167,31.416389
"87",87,"Salt Lake City","Utah",-111.9,40.7667,"KSLC","Salt Lake City Utah",-111.8910474,40.7607793,-111.9790706,40.7899404
"89",89,"Helena","Montana",-112.033,46.5833,"KHLN","Helena Montana",-112.0391057,46.5891452,-111.9902266,46.6095791
"90",90,"Phoenix","Arizona",-112.067,33.4833,"KPHX","Phoenix Arizona",-112.0740373,33.4483771,-112.0077881,33.4372686
"91",91,"Richfield","Utah",-112.083,38.7667,"KMLF","Richfield Utah",-112.0840943,38.7724673,-113.0112514,38.4192635
"92",92,"St. George","Utah",-113.5781,37.0953,"KSGU","St. George Utah",-113.5684164,37.0965278,-113.5099697,37.0334602
"94",94,"Needles","California",-114.6,34.8333,"KEED","Needles California",-114.6141315,34.8480597,-114.6194,34.7688
"95",95,"Las Vegas","Nevada",-115.2,36.1667,"KVGT","Las Vegas Nevada",-115.1398296,36.1699412,-115.1994297,36.2092336
"96",96,"Boise","Idaho",-116.217,43.6,"KBOI","Boise Idaho",-116.2023137,43.6150186,-116.2119311,43.6203256
"97",97,"Lewiston","Idaho",-117.033,46.4,"KLWS","Lewiston Idaho",-117.001189,46.4004089,-117.014737,46.3740418
"98",98,"Austin","Nevada",-117.067,39.4833,"KP68","Austin Nevada",-117.0672356,39.4925701,-116.00556,39.6014
"99",99,"San Diego","California",-117.15,32.72,"KSAN","San Diego California",-117.1610838,32.715738,-117.1933038,32.7338006
"100",100,"Spokane","Washington",-117.433,47.6667,"KGEG","Spokane Washington",-117.4260465,47.6587802,-117.534812,47.6217478
"101",101,"Baker","Oregon",-117.833,44.7833,"KBKE","Baker Oregon",-117.8343848,44.7748748,-117.809527,44.8377716
"102",102,"Los Angeles","California",-118.25,34.05,"KCQT","Los Angeles California",-118.2436849,34.0522342,-117.863,33.679
"103",103,"Fresno","California",-119.8,36.7333,"KFAT","Fresno California",-119.7871247,36.7377981,-119.7181083,36.7758493
"104",104,"Reno","Nevada",-119.817,39.5,"KRNO","Reno Nevada",-119.8138027,39.5296329,-119.7680951,39.4995907
"105",105,"Sacramento","California",-121.5,38.5833,"KSAC","Sacramento California",-121.4943996,38.5815719,-121.4987911,38.5128968
"106",106,"Klamath Falls","Oregon",-121.733,42.1667,"KLMT","Klamath Falls Oregon",-121.7816704,42.224867,-121.7340506,42.1590311
"107",107,"Seattle","Washington",-122.333,47.6167,"KBFI","Seattle Washington",-122.3320708,47.6062095,-122.3018264,47.5281657
"108",108,"San Francisco","California",-122.433,37.7833,"KSFO","San Francisco California",-122.4194155,37.7749295,-122.4006918,37.7983752
"109",109,"Portland","Oregon",-122.683,45.5167,"KVUO","Portland Oregon",-122.6587185,45.5122308,-122.6558909,45.6223129
"110",110,"Eugene","Oregon",-123.083,44.05,"KEUG","Eugene Oregon",-123.0867536,44.0520691,-123.2159003,44.1217811
"111",111,"Hoquiam","Washington",-123.9,46.9833,"KHQM","Hoquiam Washington",-123.8893348,46.9809247,-123.936789,46.9715412
"113",113,"Honolulu","Hawaii",-157.8167,21.3,"PHNL","Honolulu Hawaii",-157.8583333,21.3069444,-157.9250736,21.3245132
